Nombre Grace,Claves Clases,Link MisProfes,
GERARDO FERNANDEZ FERNANDEZ,EGN-17141,,
GUSTAVO ALVAREZ PELAEZ,EST-24104,,
RITA EUGENIA MALDONADO LOZANO,"MAT-11101, MAT-11100, MAT-12100",,
MARCELA RABADAN GALLARDO,"CLE-10603-LAB, LEN-15532, LEN-12717, LEN-12701",,
JOSE GABRIEL MARTINEZ GONZALEZ,"ECO-14303, ECO-14301",,
LEOBARDO FERNANDEZ ROMAN,"MAT-14310, MAT-12200",,
FEDERICO VALLE OCHOA,LEN-12751,,
MONICA ZAVALA ESTRADA,"COM-16306, COM-14113",,
JOSE ALEJANDRO JARDI RAMOS,"COM-16301, COM-16306",,
ANA EUGENIA DIAZ ROSIÑOL,"COM-16305, COM-16301, COM-16306",,
POLUX ERNESTO DIAZ RUIZ,"ADM-15510, ADM-15502",,
ALBERTO ESPINOSA GONZALEZ,"COM-16301, COM-16412, COM-16306",,
ANDRES GOMEZ DE SILVA GARZA,"COM-11102-LAB, COM-11114-LAB, COM-11114, COM-11102",,
TOUFIK CHAIBAT,CLE-10311-LAB,,
WILMER EFREN PEREIRA GONZALEZ,"COM-23114, COM-14106",,
HAZEL BLACKMORE SANCHEZ,EIN-15302,,
LILIANA DE LA TORRE DESENTIS,"EST-13101, EST-11101",,
EDUARDO JOSE PABLO MARTIN GARCIA CORREA,"LEN-12758, LEN-12757",,
MAGDALENA SOFIA BARBA FERNANDEZ,"ECO-11010, ECO-11101",,
CLAUDIA NOEMI GONZALEZ BRAMBILA,ADM-13126,,
LUIS MARTIN ARCINIEGA RUIZ DE ESPARZA,ADM-14402,,
ANTONELLA AGOSTINA BANDIERA,"CSO-16049, CSO-15043",,
INES VARGAS CHRISTLIEB,"DER-10015, DER-10022, DER-10016",,
ANTONIO VIVANCO CASAMADRID,"ECO-14502, ECO-14501, ECO-11010, ECO-11101",,
JORGE AGUILERA SUAREZ,"DER-18802, DER-18601",,
LUIS MANUEL CAMP MEJAN CARRER,DER-13403,,
AMRITA BAHRI,"DER-11111, DER-18044",,
RODRIGO CAMARENA GONZALEZ,"DER-15303, DER-10113",,
ALBERTO SIMPSER MONDLAK,"CSO-17056, CSO-19110, CSO-17041",,
CHRISTINA CORNEJO VAN LUIT,"ECO-10301, CSO-12013, ECO-11010, ECO-11101",,
PAVEL JIMENEZ VAZQUEZ,EGN-17161,,
MARIANA CASILLAS CASILLAS,"MAT-12201, MAT-12220",,
MANUEL GUADARRAMA HERRERA,DER-11116-LAB,,
VLADIMIR CAETANO DE OLIVEIRA CONTRERAS,"MAT-12201, MAT-12200, MAT-12250",,
MANUEL MENDOZA RAMIREZ,"EST-14103, EST-24112",,
JOSE IGNACIO LANZAGORTA GARCIA,"CSO-12041, CSO-12042, CSO-12049",,
JOSE LUIS RIVAS PEREZ,ADM-11018,,
MARCO ANTONIO MORALES AGUIRRE,"COM-11113, COM-11112, COM-11103-LAB, COM-23701, COM-11112-LAB, COM-11103, COM-11113-LAB",,
JUAN FERNANDO CALDERON CABELLO,CON-16100,,
JOSE CARLOS FEMAT ROMERO,ECO-14207,,
JOSE ALBERTO DOMINGO INCERA DIEGUEZ,"COM-12104, SDI-13760",,
LUZ MARIA SILVA ORTIZ,EGN-17161,,
LINDA DIAZ DEL BARRIO,CON-11015,,
JORGE NEME SANCHEZ,LEN-12757,,
DIEGO ALEJANDRO DOMINGUEZ LARREA,ECO-11021,,
MARCO ANTONIO MARTINEZ RAMIREZ,SDI-11561,,
